Week of Year,Media Spend,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta Leads,CP Lead Forms
01,49.017101,2405.0,20.38133097713098,529.0,0.21995841995841997,0.09265992627599243,368.0,0.13319864402173912,0.6956521739130435,2.0,24.5085505,0.005434782608695652,0.0,NaN,,NaN
02,34.087743,2253.0,15.129934753661784,478.0,0.21216156236129605,0.07131326987447699,324.0,0.10520908333333334,0.6778242677824268,1.0,34.087743,0.0030864197530864196,0.0,NaN,,NaN
03,32.046449,2473.0,12.958531742822485,528.0,0.2135058633238981,0.0606940321969697,357.0,0.08976596358543418,0.6761363636363636,1.0,32.046449,0.0028011204481792717,0.0,NaN,,NaN
04,19.659803,1686.0,11.66061862396204,356.0,0.2111506524317912,0.05522416573033708,253.0,0.07770673122529645,0.7106741573033708,0.0,NaN,0.0,0.0,NaN,,NaN
05,128.982146,3692.0,34.9355758396533,726.0,0.19664138678223186,0.17766135812672176,457.0,0.28223664332603937,0.6294765840220385,5.0,25.7964292,0.010940919037199124,0.0,NaN,,NaN
06,225.578333,4909.0,45.951992870238335,882.0,0.17966999388877572,0.25575774716553284,549.0,0.4108894954462659,0.6224489795918368,10.0,22.5578333,0.018214936247723135,0.0,NaN,,NaN
07,385.189922,5807.0,66.33199965558808,986.0,0.16979507490959186,0.3906591501014199,647.0,0.5953476383307574,0.6561866125760649,5.0,77.0379844,0.0077279752704791345,0.0,NaN,,NaN
08,382.76631199999997,5421.0,70.60806345692676,952.0,0.17561335546947057,0.4020654537815126,594.0,0.6443877306397305,0.6239495798319328,5.0,76.5532624,0.008417508417508417,0.0,NaN,,NaN
09,332.270134,11288.0,29.435695783132527,2168.0,0.1920623671155209,0.15326113191881918,1267.0,0.26224951381215467,0.584409594095941,6.0,55.378355666666664,0.004735595895816891,0.0,NaN,,NaN
10,334.742446,11412.0,29.33249614440939,2067.0,0.18112513144058887,0.16194603096274793,1095.0,0.3057008639269406,0.5297532656023222,9.0,37.19360511111111,0.00821917808219178,0.0,NaN,,NaN
11,9897.9437869457,601525.0,16.45475048742064,15975.0,0.02655749968829226,0.6195895954269609,1688.0,5.863710774256931,0.10566510172143975,23.0,430.3453820411174,0.013625592417061612,0.0,NaN,,NaN
12,26926.193923346695,3117996.0,8.635737160453925,74512.0,0.023897400766389694,0.36136721499015856,2615.0,10.296823680056097,0.03509501825209362,26.0,1035.622843205642,0.00994263862332696,0.0,NaN,,NaN
53,44.091862,1745.0,25.26754269340974,386.0,0.22120343839541548,0.11422762176165803,246.0,0.17923521138211382,0.6373056994818653,2.0,22.045931,0.008130081300813009,0.0,NaN,,NaN
