Week of Year,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
01,7.714554,381.0,20.248173228346456,41.0,0.10761154855643044,0.18815985365853657,,NaN,0.0,,NaN,NaN,,NaN,,NaN
02,9.018801,316.0,28.540509493670886,35.0,0.11075949367088607,0.2576800285714286,,NaN,0.0,,NaN,NaN,,NaN,,NaN
03,16.676921,490.0,34.03453265306123,62.0,0.12653061224489795,0.26898259677419356,,NaN,0.0,,NaN,NaN,,NaN,,NaN
04,9.563393,248.0,38.562068548387096,32.0,0.12903225806451613,0.29885603125,,NaN,0.0,,NaN,NaN,,NaN,,NaN
05,8.145022,302.0,26.970271523178813,43.0,0.1423841059602649,0.1894191162790698,16.0,0.509063875,0.37209302325581395,0.0,NaN,0.0,0.0,NaN,,NaN
06,586.2509169999998,84186.0,6.963757833844105,1143.0,0.013577079324353218,0.5129054391951005,42.0,13.958355166666664,0.03674540682414698,0.0,NaN,0.0,0.0,NaN,,NaN
07,2578.811689999999,405602.0,6.3579856361655,4114.0,0.010142948013076858,0.6268380384054446,98.0,26.31440499999999,0.023821098687408847,0.0,NaN,0.0,0.0,NaN,,NaN
08,2008.6622300000004,390403.0,5.145099371674911,4218.0,0.010804220254455012,0.4762120033191087,70.0,28.69517471428572,0.016595542911332386,1.0,2008.6622300000004,0.014285714285714285,0.0,NaN,,NaN
09,4532.742585000002,803052.0,5.644394864840635,9974.0,0.012420117252681022,0.45445584369360353,118.0,38.413072754237305,0.011830759975937436,1.0,4532.742585000002,0.00847457627118644,0.0,NaN,,NaN
10,5127.416848,865061.0,5.9272315455210665,10172.0,0.011758708345423039,0.5040716523790798,122.0,42.02800695081967,0.011993708218639402,1.0,5127.416848,0.00819672131147541,0.0,NaN,,NaN
11,3619.789039000001,579019.0,6.251589393439596,7286.0,0.01258335218706122,0.4968143067526765,116.0,31.205077922413803,0.01592094427669503,2.0,1809.8945195000006,0.017241379310344827,0.0,NaN,,NaN
12,3673.170918000001,540171.0,6.800015028574286,6894.0,0.012762625168696579,0.5328069216710184,108.0,34.010841833333345,0.015665796344647518,0.0,NaN,0.0,0.0,NaN,,NaN
53,20.490000000000002,281.0,72.91814946619218,43.0,0.15302491103202848,0.47651162790697676,,NaN,0.0,,NaN,NaN,,NaN,,NaN
